+--------------------+------------------------+--------------------+---------------------+--------------------+---------------------+---------------------+---------------------+
|   Currency Name    |     Currency Price     | Currency 1h Change | Currency 24h Change | Currency 7d Change | Currency 30d Change | Currency 60d Change | Currency 90d Change |
|    Tether Gold     |   1987.7662398758696   |     0.06105202     |      0.16922765     |     2.40973592     |      0.35878939     |      2.61675158     |      4.52388125     |
| Trust Wallet Token |   1.1715664420818837   |     0.35071059     |      0.38389925     |    -12.41685301    |     13.35529561     |     46.08323181     |     35.64264057     |
|        Pepe        | 1.142341309631414e-06  |     0.58497805     |     -0.26001144     |     -6.5981242     |     76.02198935     |     81.68439957     |      5.50767697     |
|    Huobi Token     |   2.9226610796556463   |    -0.01162076     |      0.72522169     |    -6.77215315     |     27.03007373     |      19.1012735     |     21.83693186     |
|       Zcash        |   28.93503180520745    |     0.59576025     |     -0.18902245     |    -6.67460663     |     14.16073069     |     10.68191987     |     17.13732334     |
|        GMX         |    51.1232586102416    |     0.37467741     |      0.68141599     |    -6.26560777     |     37.37520192     |     41.81401509     |     38.79485709     |
|   Oasis Network    |  0.07176832985578342   |     1.47900139     |      5.36444658     |    -3.21592472     |     75.85653274     |     63.83323015     |     77.85968881     |
|        ORDI        |   22.101214858204806   |    -0.23032246     |     -7.15048136     |     2.20513978     |     467.84502978    |     491.7971949     |     475.75818362    |
|  BitTorrent(New)   | 4.853516430012862e-07  |    -0.11694864     |     -1.57027306     |     1.7983153      |     28.45470494     |     24.78220333     |     16.39096518     |
|       Gnosis       |   178.23826484632926   |     0.3954927      |      0.04056626     |    16.42039539     |     83.67081469     |     75.81093797     |     77.04326061     |
|      PAX Gold      |   1962.746408594071    |    -0.01494619     |      0.02119755     |     2.20958351     |     -0.11908786     |      1.82144418     |      4.38182274     |
|     Pax Dollar     |   1.0000752730319618   |     0.01578997     |      0.0185222      |     0.04191876     |     -0.00157822     |      0.09932061     |      0.61202641     |
|   Terra Classic    | 7.679694498235184e-05  |     0.40657058     |     -0.20801408     |    -8.09066239     |     35.75613235     |     33.44158188     |      18.4116021     |
+--------------------+------------------------+--------------------+---------------------+--------------------+---------------------+---------------------+---------------------+
